 
  Impact-EELS Intensity
 
  All energies in meV
 
  High-symmetry points and/or path breaks detected at the following q_idxs:
    1   350   474   845  1147  1394  1569 

  The path spacings (in inverse Angstrom) between these points are:
    4.9858E-03    4.9633E-03    4.9903E-03    4.9902E-03    4.9830E-03    4.9719E-03
 
 
  q_idx    mode_idx      Energy               I_eels
   83         2        29.839669        0.000000000000E+00
   83         3        29.839669        0.000000000000E+00
   83         4       156.660950        0.547235150476E-05
   83         5       128.169261        0.000000000000E+00
   83         6       128.169261        0.000000000000E+00
   84         1        40.228266        0.729525409646E-04
   84         2        30.183720        0.000000000000E+00
   84         3        30.183720        0.000000000000E+00
   84         4       156.864249        0.519051105046E-05
   84         5       128.102703        0.000000000000E+00
   84         6       128.102703        0.000000000000E+00
   85         1        40.695652        0.709545697702E-04
   85         2        30.527108        0.000000000000E+00
   85         3        30.527108        0.000000000000E+00
   85         4       157.058494        0.492649967104E-05
   85         5       128.035469        0.000000000000E+00
   85         6       128.035469        0.000000000000E+00
   86         1        41.162508        0.690168019153E-04
   86         2        30.869828        0.000000000000E+00
   86         3        30.869828        0.000000000000E+00
   86         4       157.243738        0.467953024283E-05
   86         5       127.967628        0.000000000000E+00
   86         6       127.967628        0.000000000000E+00
   87         1        41.628830        0.671375847499E-04
   87         2        31.211874        0.000000000000E+00
   87         3        31.211874        0.000000000000E+00
   87         4       157.420048        0.444883538889E-05
   87         5       127.899250        0.000000000000E+00
   87         6       127.899250        0.000000000000E+00
   88         1        42.094612        0.653129369066E-04
   88         2        31.553241        0.000000000000E+00
   88         3        31.553241        0.000000000000E+00
   88         4       157.587498        0.423339771359E-05
   88         5       127.830406        0.000000000000E+00
   88         6       127.830406        0.000000000000E+00
   89         1        42.559850        0.635422679279E-04
   89         2        31.893925        0.000000000000E+00
   89         3        31.893925        0.000000000000E+00
   89         4       157.746171        0.403263677244E-05
   89         5       127.761166        0.000000000000E+00
   89         6       127.761166        0.000000000000E+00
   90         1        43.024538        0.618219426800E-04
   90         2        32.233920        0.000000000000E+00
   90         3        32.233920        0.000000000000E+00
   90         4       157.896160        0.384565342297E-05
   90         5       127.691600        0.000000000000E+00
   90         6       127.691600        0.000000000000E+00
   91         1        43.488671        0.601507883900E-04
   91         2        32.573221        0.000000000000E+00
   91         3        32.573221        0.000000000000E+00
   91         4       158.037566        0.367185198218E-05
   91         5       127.621777        0.000000000000E+00
   91         6       127.621777        0.000000000000E+00
   92         1        43.952243        0.585276514386E-04
   92         2        32.911823        0.000000000000E+00
   92         3        32.911823        0.000000000000E+00
   92         4       158.170499        0.351064891752E-05
   92         5       127.551767        0.000000000000E+00
   92         6       127.551767        0.000000000000E+00
   93         1        44.415250        0.569493452828E-04
   93         2        33.249721        0.000000000000E+00
   93         3        33.249721        0.000000000000E+00
   93         4       158.295076        0.336129504814E-05
   93         5       127.481638        0.000000000000E+00
   93         6       127.481638        0.000000000000E+00
   94         1        44.877686        0.554149286712E-04
   94         2        33.586909        0.000000000000E+00
   94         3        33.586909        0.000000000000E+00
   94         4       158.411421        0.322327993410E-05
   94         5       127.411457        0.000000000000E+00
   94         6       127.411457        0.000000000000E+00
   95         1        45.339545        0.539234702218E-04
   95         2        33.923382        0.000000000000E+00
   95         3        33.923382        0.000000000000E+00
   95         4       158.519665        0.309610225856E-05
   95         5       127.341291        0.000000000000E+00
   95         6       127.341291        0.000000000000E+00
   96         1        45.800821        0.524721609140E-04
   96         2        34.259136        0.000000000000E+00
   96         3        34.259136        0.000000000000E+00
   96         4       158.619946        0.297913578500E-05
   96         5       127.271203        0.000000000000E+00
   96         6       127.271203        0.000000000000E+00
   97         1        46.261509        0.510602457847E-04
   97         2        34.594164        0.000000000000E+00
   97         3        34.594164        0.000000000000E+00
   97         4       158.712409        0.287193888231E-05
   97         5       127.201257        0.000000000000E+00
   97         6       127.201257        0.000000000000E+00
   98         1        46.721602        0.496869718124E-04
   98         2        34.928461        0.000000000000E+00
   98         3        34.928461        0.000000000000E+00
   98         4       158.797202        0.277407683144E-05
   98         5       127.131515        0.000000000000E+00
   98         6       127.131515        0.000000000000E+00
   99         1        47.181095        0.483498503650E-04
   99         2        35.262022        0.000000000000E+00
   99         3        35.262022        0.000000000000E+00
   99         4       158.874483        0.268502457475E-05
   99         5       127.062037        0.000000000000E+00
   99         6       127.062037        0.000000000000E+00
  100         1        47.639981        0.470482764430E-04
  100         2        35.594842        0.000000000000E+00
  100         3        35.594842        0.000000000000E+00
  100         4       158.944410        0.260439634171E-05
  100         5       126.992880        0.000000000000E+00
  100         6       126.992880        0.000000000000E+00
  101         1        48.098254        0.457816405208E-04
  101         2        35.926915        0.000000000000E+00
  101         3        35.926915        0.000000000000E+00
  101         4       159.007148        0.253181165201E-05
  101         5       126.924101        0.000000000000E+00
  101         6       126.924101        0.000000000000E+00
  102         1        48.555908        0.445477286499E-04
  102         2        36.258235        0.000000000000E+00
  102         3        36.258235        0.000000000000E+00
  102         4       159.062868        0.246682900254E-05
  102         5       126.855752        0.000000000000E+00
  102         6       126.855752        0.000000000000E+00
  103         1        49.012937        0.433460554762E-04
  103         2        36.588798        0.000000000000E+00
  103         3        36.588798        0.000000000000E+00
  103         4       159.111741        0.240910823340E-05
  103         5       126.787885        0.000000000000E+00
  103         6       126.787885        0.000000000000E+00
  104         1        49.469333        0.421761279581E-04
  104         2        36.918597        0.000000000000E+00
  104         3        36.918597        0.000000000000E+00
  104         4       159.153945        0.235831330693E-05
  104         5       126.720548        0.000000000000E+00
  104         6       126.720548        0.000000000000E+00
  105         1        49.925092        0.410359678358E-04
  105         2        37.247628        0.000000000000E+00
  105         3        37.247628        0.000000000000E+00
  105         4       159.189659        0.231407191803E-05
  105         5       126.653788        0.000000000000E+00
  105         6       126.653788        0.000000000000E+00
  106         1        50.380205        0.399251868169E-04
  106         2        37.575885        0.000000000000E+00
  106         3        37.575885        0.000000000000E+00
  106         4       159.219065        0.227608137904E-05
  106         5       126.587647        0.000000000000E+00
  106         6       126.587647        0.000000000000E+00
  107         1        50.834667        0.388433854937E-04
  107         2        37.903363        0.000000000000E+00
  107         3        37.903363        0.000000000000E+00
  107         4       159.242348        0.224404230862E-05
  107         5       126.522167        0.000000000000E+00
  107         6       126.522167        0.000000000000E+00
  108         1        51.288471        0.377887894554E-04
  108         2        38.230055        0.000000000000E+00
  108         3        38.230055        0.000000000000E+00
  108         4       159.259694        0.221763986041E-05
  108         5       126.457386        0.000000000000E+00
  108         6       126.457386        0.000000000000E+00
  109         1        51.741610        0.367610884898E-04
  109         2        38.555958        0.000000000000E+00
  109         3        38.555958        0.000000000000E+00
  109         4       159.271293        0.219660235357E-05
  109         5       126.393336        0.000000000000E+00
  109         6       126.393336        0.000000000000E+00
  110         1        52.194077        0.357599587095E-04
  110         2        38.881065        0.000000000000E+00
  110         3        38.881065        0.000000000000E+00
